分组	标准名	编号	批准日期	文号	发布单位	官方链接	全文PDF	红头PDF	附件	备注
装配式与外围护	装配式部分包覆钢-混凝土组合结构技术标准		2023-03-08	沪建标定〔2023〕118号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=e33b9bffd06d4e409af7879fc7c7dab4&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/2b/2b24de2331c24a519fbd99a12cc4d8f1/5ee3cdd6c9cfc2185bb5dabe0613e584.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%A3%85%E9%85%8D%E5%BC%8F%E9%83%A8%E5%88%86%E5%8C%85%E8%A6%86%E9%92%A2-%E6%B7%B7%E5%87%9D%E5%9C%9F%E7%BB%84%E5%90%88%E7%BB%93%E6%9E%84%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
规划与不动产	节约集约建设用地标准		2023-03-08	沪建标定〔2023〕115号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=e437541c8b1343a08f6f03bd87d3a6d1&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/9e/9e3e40eb1fe34d1f99ee84dd7c06b5db/b80791aa8c389e36eb5f8dc5f0058ce6.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%8A%82%E7%BA%A6%E9%9B%86%E7%BA%A6%E5%BB%BA%E8%AE%BE%E7%94%A8%E5%9C%B0%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
消防与人防	民防工程运行维护技术标准		2023-02-13	沪建标定〔2023〕76号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=cea9a60e18ee4876b766d1b9afd315b5&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/d1/d1ef47e5d3bf4c63b53e234c39008e15/4000149dafec306861cf83b766b9e377.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%B0%91%E9%98%B2%E5%B7%A5%E7%A8%8B%E8%BF%90%E8%A1%8C%E7%BB%B4%E6%8A%A4%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
其他	黄浦江两岸滨江公共空间建设标准		2023-01-31	沪建标定〔2023〕56号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=5dc2b0a0a94549c0bbf7119efcb6eac7&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/91/91be2335f5bc4c5fb56ccb3ad8ee934a/f08910d6fcd85ce5b95696a7fde507b4.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E9%BB%84%E6%B5%A6%E6%B1%9F%E4%B8%A4%E5%B2%B8%E6%BB%A8%E6%B1%9F%E5%85%AC%E5%85%B1%E7%A9%BA%E9%97%B4%E5%BB%BA%E8%AE%BE%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
结构与抗震	道路声屏障结构技术标准	DG/TJ08-2086-2011	2023-01-31	沪建标定〔2023〕58号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=c87581bf65fe45d2812601d54f2dfb20&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/266道路声屏障结构技术规范.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/ef/ef02436ea9454eccb60212de21fc1298/bd295d1284c07e2ef852aa6e16e9b0fe.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E9%81%93%E8%B7%AF%E5%A3%B0%E5%B1%8F%E9%9A%9C%E7%BB%93%E6%9E%84%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2011-08-01
绿化与市容	上海市单位附属绿地开放共享建设技术导则（试行）		2023-01-20	沪绿委办〔2023〕1号	上海市绿化和市容管理局	https://www.shanghai.gov.cn/zhengce/detail?businessId=2280ebd7-2945-49e2-9276-68e6bb4280a4&siteId=0039		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0039/2e/2ea89af03b6245e2985bbce95f672e89/f479160dbf97dec45e0878e31c0a151e.pdf&filename=%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%8D%95%E4%BD%8D%E9%99%84%E5%B1%9E%E7%BB%BF%E5%9C%B0%E5%BC%80%E6%94%BE%E5%85%B1%E4%BA%AB%E5%BB%BA%E8%AE%BE%E6%8A%80%E6%9C%AF%E5%AF%BC%E5%88%99%EF%BC%88%E8%AF%95%E8%A1%8C%EF%BC%89%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
施工与质量安全	建设工程招标代理标准	DG/TJ08-2072-2022	2023-01-17	沪建标定〔2023〕35号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=55500a111b5c45c3a86a2386f171f848&siteId=0011	https://zjw.sh.gov.cn/cmsres/bd/bdca8778320a4ab1a6ffac57eb340476/a1807ba4fa2c9348b46dfc0f817ab7ac.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/5d/5dfb3a5e0cf7422bb7469c8791b0473a/7d9a206f2f462d8268ca38d35bbf9c83.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E8%AE%BE%E5%B7%A5%E7%A8%8B%E6%8B%9B%E6%A0%87%E4%BB%A3%E7%90%86%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-05-01
结构与抗震	粒化高炉矿渣粉在水泥混凝土中应用技术标准	DG/TJ08-501-2023	2023-01-17	沪建标定〔2023〕25号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=9e5d34170cda4a6abf806f54a36d70e5&siteId=0011	https://zjw.sh.gov.cn/cmsres/e6/e66a945e86d640fca4de8f12bda69734/b3ba90bf2cb18b85fabaafc1bbdb3e45.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/07/07df20f282334ec0bcd291c86d4e11d2/11bad2ff9a2e8cb59324ae2de24b5981.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E7%B2%92%E5%8C%96%E9%AB%98%E7%82%89%E7%9F%BF%E6%B8%A3%E7%B2%89%E5%9C%A8%E6%B0%B4%E6%B3%A5%E6%B7%B7%E5%87%9D%E5%9C%9F%E4%B8%AD%E5%BA%94%E7%94%A8%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-06-01
结构与抗震	建筑抗震设计标准	DG/TJ08-9-2023	2023-01-12	沪建标定〔2023〕17号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=cfba3332dba34d0c9b8723004d8470b9&siteId=0011	https://zjw.sh.gov.cn/cmsres/00/007f14f3eb2341ffb407844dde0ce4b2/bda7bdd4527111d51b62a369226f9ef6.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/f5/f5c6bf2705ff42a4996b7721d0b396a5/dff383a9df1b3412050cee60e1d9b84a.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E7%AD%91%E6%8A%97%E9%9C%87%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-06-01
规划与不动产	关于购买共有产权保障住房（经济适用住房）满五年后续相关不动产登记技术规定		2022-12-28	沪规划资源规〔2022〕11号	上海市规划和自然资源局	https://www.shanghai.gov.cn/zhengce/detail?businessId=5f56ede00285413e99f9ad01a83460ac&siteId=0032		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0032/89/898ecc330484429daaba5d28b611b7f7/49734f09a0459c0f0170f3fe2ecd5e38.pdf&filename=%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E5%85%B3%E4%BA%8E%E8%B4%AD%E4%B9%B0%E5%85%B1%E6%9C%89%E4%BA%A7%E6%9D%83%E4%BF%9D%E9%9A%9C%E4%BD%8F%E6%88%BF%EF%BC%88%E7%BB%8F%E6%B5%8E%E9%80%82%E7%94%A8%E4%BD%8F%E6%88%BF%EF%BC%89%E6%BB%A1%E4%BA%94%E5%B9%B4%E5%90%8E%E7%BB%AD%E7%9B%B8%E5%85%B3%E4%B8%8D%E5%8A%A8%E4%BA%A7%E7%99%BB%E8%AE%B0%E6%8A%80%E6%9C%AF%E8%A7%84%E5%AE%9A%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
设备与智能化	专用数字无线对讲通信系统工程技术标准		2022-12-19	沪建标定〔2022〕736号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=0b00d5a1d4534700a0ec9dc8dd1c6684&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/71/71f36905b40d40efbcfb2da978c3017d/e26e385c9236a37cb81d1e3b6dc78663.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E4%B8%93%E7%94%A8%E6%95%B0%E5%AD%97%E6%97%A0%E7%BA%BF%E5%AF%B9%E8%AE%B2%E9%80%9A%E4%BF%A1%E7%B3%BB%E7%BB%9F%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
水务与海绵	上海市新建居民住宅饮用水高品质入户工程技术规程		2022-12-02	沪水务〔2022〕1034号	上海市水务局	https://www.shanghai.gov.cn/zhengce/detail?businessId=cdedd1001f624b9287f49baf6fcd71bc&siteId=0004		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/91/910cea55614041d1a009aaaf39fc8844/c8364ee7d52a7621b0b80f48a60743e7.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B0%B4%E5%8A%A1%E5%B1%80%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%96%B0%E5%BB%BA%E5%B1%85%E6%B0%91%E4%BD%8F%E5%AE%85%E9%A5%AE%E7%94%A8%E6%B0%B4%E9%AB%98%E5%93%81%E8%B4%A8%E5%85%A5%E6%88%B7%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/9d/9d7e0a57d1b74a4d8c80e277bcfd3170/e6f80218deac33ea63ce4eff69f902de.pdf&filename=%E6%B2%AA%E6%B0%B4%E5%8A%A1%E3%80%942022%E3%80%951034%E5%8F%B7%E9%99%84%E4%BB%B6.pdf	新批准，现行标准栏目未收录
市政与道路	上海市河道维修养护技术规程		2022-11-09	沪水务〔2022〕901号	上海市水务局	https://www.shanghai.gov.cn/zhengce/detail?businessId=ee9dfc13e126437087633912d4872e49&siteId=0004		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/b0/b08c6ca3ef414fa09229951207a8020a/5014dbc9f0deccb83b23e09a8741d2bb.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B0%B4%E5%8A%A1%E5%B1%80%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B2%B3%E9%81%93%E7%BB%B4%E4%BF%AE%E5%85%BB%E6%8A%A4%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/16/16ab30bd436d4b4a9b5dd7d6af92c137/3bb69317a84c9463536f17708293c0d2.pdf&filename=%E6%B2%AA%E6%B0%B4%E5%8A%A1%E3%80%942022%E3%80%95901%E5%8F%B7%E9%99%84%E4%BB%B6.pdf	新批准，现行标准栏目未收录
消防与人防	城市综合体消防技术标准	DG/TJ08-2408-2022	2022-09-09	沪建标定〔2022〕453号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=cabb0803cfe6419ba91b126eeb08f746&siteId=0011	https://zjw.sh.gov.cn/cmsres/a5/a5875f7a69e04e81b67105359f7326e6/23cbc0d0ccef9c194b4ecbe219f94b98.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/74/74a2d805b61f409d9e1a5a1e2267cf44/f7b6fa04e927c7596c57d14ee5e74ad3.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E7%BB%BC%E5%90%88%E4%BD%93%E6%B6%88%E9%98%B2%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-02-01
消防与人防	文物和优秀历史建筑消防技术标准	DG/TJ08-2410-2022	2022-09-09	沪建标定〔2022〕451号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=114f319aff8d422091e49b9f32dfddc8&siteId=0011	https://zjw.sh.gov.cn/cmsres/77/7793080f3bbd4857ac900944a7089a25/62a7bbdff0dbff79e1215a742768782c.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/37/37dcd0cfd56e4c77b842626e72e1a27a/3b5dab989d947fe59c61109cd567aeae.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E6%96%87%E7%89%A9%E5%92%8C%E4%BC%98%E7%A7%80%E5%8E%86%E5%8F%B2%E5%BB%BA%E7%AD%91%E6%B6%88%E9%98%B2%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-02-01
设备与智能化	城镇天然气管道工程技术标准	DJ/TJ08-10-2022	2022-09-09	沪建标定〔2022〕452号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=988afab6b0224fe0a5552e6bd9d0e844&siteId=0011	https://zjw.sh.gov.cn/cmsres/4e/4e596d8a277c419eb9eeb8d24fc9a565/897d8fd2c91ff1e3526e383e7e37a21b.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/25/25dfcacb40c14ed7a483ccd6fab965b2/b2a27435bbccd96e51b567b89c54f4b8.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E9%95%87%E5%A4%A9%E7%84%B6%E6%B0%94%E7%AE%A1%E9%81%93%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-02-01
建筑与住区	保障性住房设计标准（保障性租赁住房改建分册）	DG/TJ08-2291C-2022	2022-09-06	沪建标定〔2022〕448号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=4d5998d6d1a94f69a3d72669aa8866cb&siteId=0011	https://zjw.sh.gov.cn/cmsres/ed/edc21b3ab20445b3b90cb1920f6e8e02/f92a6c8516ba3cf5ac4bb499b00fe3e1.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/f0/f0f8a935b1604b6ea97708c04dce24d3/68c3e94d8153c61d7a7abeb0e539692c.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E4%BF%9D%E9%9A%9C%E6%80%A7%E4%BD%8F%E6%88%BF%E8%AE%BE%E8%AE%A1%E6%A0%87%E5%87%86%EF%BC%88%E4%BF%9D%E9%9A%9C%E6%80%A7%E7%A7%9F%E8%B5%81%E4%BD%8F%E6%88%BF%E6%94%B9%E5%BB%BA%E5%88%86%E5%86%8C%EF%BC%89%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2022-12-01
消防与人防	老旧住宅小区消防改造技术标准	DG/TJ08-2409-2022	2022-08-22	沪建标定〔2022〕414号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=c1f16b08dd6c42db8871db40b3e5b731&siteId=0011	https://zjw.sh.gov.cn/cmsres/a3/a33d0fd6ca9f48ea836ba10acd2f36f0/44a5c7afbe6fda4be3f3485d6d07e62d.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/2d/2d33741afdd3466ea1742e24bd5d6728/404238068b92e09c755647e26d49b729.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%80%81%E6%97%A7%E4%BD%8F%E5%AE%85%E5%B0%8F%E5%8C%BA%E6%B6%88%E9%98%B2%E6%94%B9%E9%80%A0%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2023-01-01
设备与智能化	大型泵站设备设施运行标准	DG/TJ08-2045-2008	2022-08-11	沪建标定〔2022〕381号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=2a64472f386c497a97ea65e7cb8ecd67&siteId=0011	https://zjw.sh.gov.cn/shsd/userfiles/207大型泵站设备设施运行规程.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/4f/4f87e560985f4e3788b484e688861edf/1d7ce1a63bf9b16104865d4aa8be958f.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%A4%A7%E5%9E%8B%E6%B3%B5%E7%AB%99%E8%AE%BE%E5%A4%87%E8%AE%BE%E6%96%BD%E8%BF%90%E8%A1%8C%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2009-02-01
市政与道路	行道树栽植与养护技术标准		2022-08-08	沪建标定〔2022〕367号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=4104dc551c584dc9bceaeef81c6b6a18&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/91/919c2f207ba9463882490505d7c21d44/c5e49ab2b1136cab32d91bab6bb4abe0.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%A1%8C%E9%81%93%E6%A0%91%E6%A0%BD%E6%A4%8D%E4%B8%8E%E5%85%BB%E6%8A%A4%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
